# 2013 3 13   by H. Asakura
# Al foil 128
#   E/keV       0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
	5	500	493	506	501	500	504	501	501	500	500	500	502	500	498	502	489	509	501	519
	7	704	692	709	700	700	704	699	701	700	701	699	702	700	698	701	684	712	705	723
	9	904	886	913	898	898	903	896	900	899	897	900	903	898	897	899	879	914	900	928
	11	1104	1083	1111	1095	1098	1101	1092	1101	1099	1097	1096	1099	1099	1095	1097	1070	1116	1099	1131
	13	1305	1273	1309	1294	1294	1297	1288	1295	1296	1291	1292	1296	1296	1292	1292	1260	1317	1291	1332
	15	1497	1468	1507	1485	1488	1496	1482	1493	1491	1488	1490	1501	1491	1487	1490	1451	1513	1493	1533
	17	1692	1656	1705	1689	1684	1692	1667	1690	1687	1680	1687	1687	1690	1684	1685	1639	1713	1688	1732
	19	1883	1849	1908	1871	1870	1894	1871	1880	1878	1869	1887	1886	1880	1874	1880	1828	1908	1872	1933
# Ag foil without holder
#	19	1905	1865	1926	1885	1894	1900	1887	1893	1894	1886	1901	1900	1890	1891	1888	1843	1918	1880	1951
# Au foil without holder
#	19	1897	1860	1919	1884	1889	1898	1881	1889	1887	1885	1893	1904	1887	1884	1887	1841	1913	1880	1948
