# 2014-02-27   by H. Asakura
# After the setting of the XMAP was changed.
#   Jumper was changed to change input attenuation from 0dB to 20dB
#   All the 'PreAMPGain' was set at 0.6
#   E/keV       0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0       0       0       0       0       0
	5	307	291	341	264	301	300	303	336	300	322	355	330	317	315	314	343	351	323	331
	7	433	398	476	367	422	418	421	469	412	452	494	453	436	432	437	481	495	452	461
	9	556	513	613	470	541	538	541	603	530	578	637	582	561	554	563	620	634	583	595
	11	680	628	747	575	662	657	660	737	647	707	774	712	686	678	686	754	775	716	772
	13	805	742	884	680	782	780	784	871	766	836	918	847	813	801	813	896	921	839	855
	15	928	854	1022	785	903	898	904	1007	884	967	1061	976	935	925	939	1032	1059	971	989
	17	1055	969	1161	858	1022	1021	1026	1144	1004	1094	1202	1107	1063	1048	1067	1174	1203	1101	1122
	19	1176	1085	1295	992	1145	1138	1144	1277	1121	1222	1342	1237	1188	1172	1193	1309	1343	1228	1253
# 2014-02-10   by M. Tabuchi
# After the setting of the XMAP was changed.
#   Jumper was changed to change input attenuation from 0dB to 20dB
#   All the 'PreAMPGain' was set at 0.6
# 
#   E/keV       0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0       0       0       0       0       0
#	5	309	290	340	262	299	297	302	334	299	319	352	328	316	312	315	342	351	322	329
#	6	369	344	404	311	358	355	357	399	350	382	419	385	370	366	371	408	419	384	390
#	7	429	401	470	364	417	414	419	465	408	446	488	450	433	426	436	477	490	448	456
#	8	488	456	536	413	475	472	474	530	465	507	557	510	493	487	494	542	558	509	519
#	9	550	515	602	466	534	530	536	596	524	572	624	576	554	547	557	611	628	577	583
#	10	609	569	667	515	594	587	591	660	579	632	692	635	614	608	614	676	695	639	645	
#	11	668	625	734	567	650	645	651	726	637	694	761	700	674	665	677	742	764	700	710
#	12	726	681	796	614	708	702	704	788	691	756	827	760	732	725	734	806	829	760	769
#	13	785	734	865	667	764	761	765	854	748	817	897	823	793	783	799	873	898	818	837
#	14	844	787	928	717	822	815	819	917	805	877	964	884	854	842	853	938	965	877	897
#	15	905	846	993	767	878	875	879	982	861	941	1031	945	911	900	917	1001	1032	942	958
#	16	964	898	1057	815	934	925	931	1042	918	999	1098	1001	971	958	973	1067	1099	1001	1019
#	17	1021	953	1117	865	996	987	991	1109	973	1062	1159	1069	1029	1016	1032	1128	1168	1065	1081
#	18	1078	1005	1182	913	1046	1038	1051	1175	1024	1114	1230	1124	1089	1074	1093	1190	1234	1129	1147
#	19	1140	1065	1246	963	1104	1099	1109	1237	1086	1186	1292	1185	1147	1135	1151	1267	1294	1183	1209	
