#         Ka2 Ka1 Kb La2 La1 Lb1 Lb2 K LIII LII LI
Li  3    54.3 0 0	0 0 0 0 55 0 0 0
Be  4   108.5 0 0	0 0 0 0 112 0 0 0
B   5   183.3 0 0	0 0 0 0 187 0 0 0
C   6   277.0 0 0	0 0 0 0 284 0 0 0
N   7   392.4 0 0	0 0 0 0 440 0 0 0
O   8   524.9 0 0	0 0 0 0 532 0 0 0
F   9   676.8 0 0	0 0 0 0 692 0 0 0
Ne 10   848.6 0 857.9	0 0 0 0 874 0 0 0
Na 11  1041.0 0 1071.1	0 0 0 0 1080 0 0 0
Mg 12  1253.6 0 1302.2	0 0 0 0 1303 50 0 0
Al 13  1486.3 1486.7 1557.4	0 0 0 0 1559 72 0 0
Si 14  1739.4 1740.0 1835.9	0 0 0 0 1838 98 0 0
P  15  2012.7 2013.7 2139.0	0 0 0 0 2143 128 0 0
S  16  2306.6 2307.8 2464.0	0 0 0 0 2417 162 163 193
Cl 17  2620.8 2622.4 2815.6	0 0 0 0 2820 201 202 238
Ar 18  2955.6 2957.7 3190.5	0 0 0 0 3203 244 246 287
K  19  3311.1 3313.8 3589.6	0 0 0 0 3608 292 295 341
Ca 20  3688.1 3691.7 4012.7	0 0 0 0 4038 346 350 399
Sc 21  4086.1 4090.6 4460.5	0 0 0 0 4497 407 411 462 
Ti 22  4504.9 4510.8 4931.8	0 0 0 0 4965 456 462 530
V  23  4944.6 4952.2 5427.3	0 0 0 0 5465 515 523 604
Cr 24  5405.5 5414.7 5946.7	0 0 0 0 5989 574 584 679
Mn 25  5887.7 5898.8 6490.5	0 0 0 0 6539 644 656 762
Fe 26  6390.8 6403.8 7058.0	0 0 0 0 7113 709 722 849
Co 27  6915.3 6930.3 7649.4	0 0 0 0 7710 783 798 929
Ni 28  7460.9 7478.2 8264.7	0 0 0 0 8332 858 877 1011
Cu 29  8027.8 8047.8 8905.3	0 0 0 0 8984 935 954 1100
Zn 30  8615.8 8638.9 9572.0	0 0 0 0 9663 1024 1047 1200
Ga 31  9224.8 9251.7 10264.2	0 0 0 0 10375 1142 1168 1300
Ge 32  9855.3 9886.4 10982.1	0 0 0 0 11109 1212 1244 1413
As 33 10508.0 10543.7 11726.2	0 0 0 0 11875 1322 1358 1529
Se 34 11181.4 11222.4 12495.9	0 0 0 0 12664 1431 1472 1660
Br 35 11877.6 11924.2 13291.4	0 0 0 0 13478 1552 1599 1790
Kr 36 12598.0 12649.0 14112.0	0 0 0 0 14325 1670 1730 1920
